Handle,Title,Body (HTML),Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Cost per item,Image Src,product.metafields.custom.original_prodect_url,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,product.metafields.custom.brand,product.metafields.custom.typeitem,Type,Vendor,Published
coach-outlet-city-tote-bag-in-signature-canvas,city tote bag in signature canvas,Signature coated canvas Inside zip pocket Snap closure Handles with 10 drop 13 (L) x 11 1/2 (H) x 6 1/4 (W) Style No. CV976 | Coach Outlet City Tote Bag In Signature Canvas - Purple,,Size,Adult - Women,Color,gold/sand/chalk,1901.99,1462.65,,https://shop.simon.com/products/coach-outlet-city-tote-bag-in-signature-canvas?crpid=7913406267452&cid=adClick%3Acollection&variant=42616607637564,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,Color,gold/tan/brown,1901.99,1462.65,,,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,Color,gold/walnut/black,1901.99,1462.65,,,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,Color,gold/white/chalk,1901.99,1462.65,,,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
