Handle,Title,Body (HTML),Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Cost per item,Image Src,product.metafields.custom.original_prodect_url,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,product.metafields.custom.brand,product.metafields.custom.typeitem,Type,Vendor,Published
coach-outlet-city-tote-bag-in-signature-canvas,city tote bag in signature canvas,Signature coated canvas Inside zip pocket Snap closure Handles with 10 drop 13 (L) x 11 1/2 (H) x 6 1/4 (W) Style No. CV976 | Coach Outlet City Tote Bag In Signature Canvas - Purple,,Size,Adult - Women,Color,gold/white/chalk,1901.99,1462.65,https://shop.simon.com/cdn/shop/files/813ca3d7378f47fbb27606b598314ddd_1080x.webp?v=1738005911,https://shop.simon.com/products/coach-outlet-city-tote-bag-in-signature-canvas?crpid=7913406267452&cid=adClick%3Acollection&variant=42616607637564,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/c6dde4345b324bc79a119cd7c92944fa_1080x.webp?v=1738005912,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/ae975c3b75714cb9a03b61f9cccb90ea_1080x.webp?v=1738005911,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/9ef1184fe3af47239aa379ff84d5817e_1080x.webp?v=1738005912,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/366a358eb2fa4efda43eaac4f26b2877_1080x.webp?v=1738005912,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/e932fd78dd464f508aba47f6d30bb147_1080x.webp?v=1738005912,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/e77d178b9b5944caa2c25d9a194ccede_1080x.webp?v=1738005912,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/4a4c1d9bb3a3482f98f02e7c9d895e2b_1080x.webp?v=1741294540,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/496826a3834244b1b4563bb2e549f680_1080x.webp?v=1741294540,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/ead00ad939224dec89ad8aa1508d6f9e_1080x.webp?v=1741294540,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/1b6ef0b65434426fa1dbfd97ed43f77e_1080x.webp?v=1741294540,,,,,,,,,
coach-outlet-city-tote-bag-in-signature-canvas,,,,,,,gold/white/chalk,,,https://shop.simon.com/cdn/shop/files/6a508c4ff8224b258c7701dd6f2750be_1080x.webp?v=1741294540,,,,,,,,,
