Handle,Title,Body (HTML),Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Cost per item,Image Src,product.metafields.custom.original_prodect_url,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,product.metafields.custom.brand,product.metafields.custom.typeitem,Type,Vendor,Published
kids-adidas-two-piece-back-pleat-heather-tee-and-bike-shorts-set,kids'  two-piece back pleat heather tee and bike shorts set,"When a kid is on the move, an adidas kids' tee and shorts set makes life that much easier. Soft, stretchy fabric keeps things comfy and allows freedom of movement, whatever the day's adventure. Creative design details and the 3 Bar Logo provide sporty style.",one color multiple size,Size,Child,Color,grey heathered,171.99,132.30,//shop.simon.com/cdn/shop/files/d900196e1de1421cbc999e7fd5e03958_1800x1800.jpg?v=1751534581,https://shop.simon.com/products/kids-adidas-two-piece-back-pleat-heather-tee-and-bike-shorts-set?crpid=8577118896188,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
kids-adidas-two-piece-back-pleat-heather-tee-and-bike-shorts-set,,,,,,,grey heathered,,,//shop.simon.com/cdn/shop/files/6f3bcc96d5e04ae988dd4b2e65d935e4_1800x1800.jpg?v=1751534581,,,,,,Handbag,,,
kids-adidas-two-piece-back-pleat-heather-tee-and-bike-shorts-set,,,,,,,grey heathered,,,//shop.simon.com/cdn/shop/files/24565528cb6845e08a468ff6652eee43_1800x1800.jpg?v=1751534581,,,,,,Handbag,,,
kids-adidas-two-piece-back-pleat-heather-tee-and-bike-shorts-set,,,,,,,grey heathered,,,//shop.simon.com/cdn/shop/files/69966934e98f42ffbff2cdd52d8ca519_1800x1800.jpg?v=1751534581,,,,,,Handbag,,,
kids-adidas-two-piece-back-pleat-heather-tee-and-bike-shorts-set,,,,,,,grey heathered,,,//shop.simon.com/cdn/shop/files/6816d984b9104076b84461596cfef1e8_1800x1800.jpg?v=1751534581,,,,,,Handbag,,,
puma-x-harry-potter-big-kids-baby-tee,x harry potter big kids' baby tee,"PRODUCT STORY Join the PUMA Quidditch™ team with this magical tee. Featuring metallic crest prints, a hidden Golden Snitch™, and a co-branded sign-off at the back. Perfect for adding a touch of wizardry to your everyday adventures. DETAILS Slim fit Single jersey Cropped length Crew neck Short sleeves PUMA branding details PUMA Big Kids -  Recommended for older kids between 8 and 16 years",multiple color multiple size,Size,Child,Color,dark myrtle,119.99,91.88,https://shop.simon.com/cdn/shop/files/ad822cd2607d4639ba510c27e575682e_720x.jpg?v=1752801429,https://shop.simon.com/products/puma-x-harry-potter-big-kids-baby-tee?crpid=8598490742844,manual,deny,shopify,Coach Outlet,Handbag,USA Products,simon,TRUE
